++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        1.08       11.27      -53.13      -52.68      -90.00        0.00      -82.68       63.78
        1.08       11.32      -54.46      -53.02      -90.00        0.00      -83.03       63.92
        1.08       11.37      -53.13      -53.46      -90.00        0.00      -83.37       63.92
        1.08       11.42      -53.13      -53.46      -90.00        0.00      -83.74       63.79
        1.08       11.47      -53.13      -53.46      -90.00        0.00      -84.11       63.79
        1.08       11.52      -54.46      -53.46      -90.00        0.00      -84.47       64.01
        1.08       11.57      -54.46      -54.13      -90.00        0.00      -84.84       64.01
        1.08       11.62      -54.46      -54.13      -90.00        0.00      -85.17       63.79
        1.08       11.67      -54.46      -53.80      -90.00        0.00      -85.51       63.79
        1.08       11.72      -54.46      -53.80      -90.00        0.00      -85.80       63.77
        1.08       11.77      -56.31      -54.59      -90.00        0.00      -86.19       63.77
        1.08       11.82      -54.46      -54.59      -90.00        0.00      -86.54       63.83
        1.08       11.87      -56.31      -55.05      -90.00        0.00      -86.86       63.83
        1.08       11.92      -54.46      -55.85      -90.00        0.00      -87.20       63.99
        1.08       11.97      -56.31      -55.85      -90.00        0.00      -87.48       63.99
        1.08       12.02      -54.46      -55.39      -90.00        0.00      -87.87       63.76
        1.08       12.07      -56.31      -55.06      -90.00        0.00      -88.28       63.76
        1.08       12.12      -56.31      -55.98      -90.00        0.00      -88.52       63.86
        1.08       12.18      -56.31      -56.31      -90.00        0.00      -88.83       63.86
        1.08       12.23      -56.31      -56.31      -90.00        0.00      -89.17       63.74
        1.08       12.28      -56.31      -56.31      -90.00        0.00      -89.51       63.74
        1.08       12.33      -56.31      -56.31      -90.00        0.00      -89.84       63.74
        1.08       12.38      -56.31      -56.31      -90.00        0.00      -90.18       63.74
        1.08       12.43      -56.31      -56.31      -90.00        0.00      -90.52       63.74
        1.08       12.48      -56.31      -56.31      -90.00        0.00      -90.85       63.81
        1.08       12.53      -56.31      -56.73      -90.00        0.00      -91.15       63.81
        1.08       12.58      -56.31      -57.15      -90.00        0.00      -91.45       63.91
        1.08       12.63      -56.31      -57.15      -90.00        0.00      -91.78       63.91
        1.08       12.68      -59.04      -58.09      -90.00        0.00      -92.02       63.96
        1.08       12.73      -59.04      -59.04      -90.00        0.00      -92.26       63.96
        1.08       12.78      -59.04      -58.78      -90.00        0.00      -92.59       63.83
        1.08       12.83      -59.04      -58.09      -90.00        0.00      -92.96       63.83
        1.08       12.88      -59.04      -58.66      -90.00        0.00      -93.23       63.84
        1.08       12.93      -60.26      -59.65      -90.00        0.00      -93.46       63.84
        1.08       12.98      -60.26      -59.95      -90.00        0.00      -93.74       64.01
        1.08       13.03      -60.26      -59.95      -90.00        0.00      -94.04       64.01
        1.08       13.08      -60.26      -59.65      -90.00        0.00      -94.36       63.79
        1.08       13.13      -63.43      -60.75      -90.00        0.00      -94.57       63.79
        1.08       13.18      -60.26      -61.85      -90.00        0.00      -94.77       63.81
        1.08       13.23      -60.95      -61.22      -90.00        0.00      -95.01       63.81
        1.08       13.28      -63.43      -62.02      -90.00        0.00      -95.28       63.82
        1.08       13.33      -61.39      -62.30      -90.00        0.00      -95.51       63.82
        1.08       13.38      -63.43      -62.30      -90.00        0.00      -95.78       63.77
        1.08       13.43      -61.70      -62.38      -90.00        0.00      -96.04       63.77
        1.08       13.48      -63.43      -62.38      -90.00        0.00      -96.31       63.72
        1.08       13.53      -63.43      -63.43      -90.00        0.00      -96.54       63.72
        1.08       13.58      -63.43      -62.81      -90.00        0.00      -96.82       63.72
        1.08       13.63      -63.43      -62.81      -90.00        0.00      -97.10       63.72
        1.08       13.68      -63.43      -63.43      -90.00        0.00      -97.32       63.73
        1.08       13.73      -63.43      -63.43      -90.00        0.00      -97.58       63.73
        1.08       13.78      -63.43      -63.43      -90.00        0.00      -97.85       63.79
        1.08       13.83      -63.43      -63.43      -90.00        0.00      -98.11       63.79
        1.08       13.88      -63.43      -63.43      -90.00        0.00      -98.38       63.80
        1.08       13.93      -63.43      -63.43      -90.00        0.00      -98.64       63.80
        1.08       13.98      -63.43      -63.43      -90.00        0.00      -98.91       63.94
        1.08       14.03      -63.43      -63.43      -90.00        0.00      -99.17       63.94
        1.08       14.08      -63.43      -63.43      -90.00        0.00      -99.44       64.01
        1.08       14.13      -65.22      -64.53      -90.00        0.00      -99.61       64.01
        1.08       14.18      -63.43      -64.53      -90.00        0.00      -99.87       64.02
        1.08       14.23      -63.43      -63.43      -90.00        0.00     -100.22       64.02
        1.08       14.28      -65.56      -64.62      -90.00        0.00     -100.38       63.84
        1.08       14.33      -63.43      -64.62      -90.00        0.00     -100.64       63.84
        1.08       14.38      -66.04      -64.09      -90.00        0.00     -100.94       63.82
        1.08       14.43      -63.43      -64.74      -90.00        0.00     -101.14       63.82
        1.08       14.48      -63.43      -64.09      -90.00        0.00     -101.45       63.82
        1.08       14.53      -63.43      -63.43      -90.00        0.00     -101.76       63.82
        1.08       14.58      -63.43      -64.09      -90.00        0.00     -101.97       63.87
        1.08       14.63      -66.80      -65.77      -90.00        0.00     -102.09       63.87
        1.08       14.68      -66.04      -65.77      -90.00        0.00     -102.33       63.82
        1.08       14.73      -66.80      -65.77      -90.00        0.00     -102.58       63.82
        1.08       14.78      -66.80      -66.80      -90.00        0.00     -102.73       63.83
        1.08       14.83      -63.43      -65.12      -90.00        0.00     -103.11       63.83
        1.08       14.88      -63.43      -64.28      -90.00        0.00     -103.44       63.85
        1.08       14.93      -68.20      -66.31      -90.00        0.00     -103.52       63.85
        1.08       14.98      -66.80      -67.15      -90.00        0.00     -103.69       63.89
        1.08       15.03      -66.80      -65.96      -90.00        0.00     -104.02       63.89
        1.08       15.08      -66.80      -66.31      -90.00        0.00     -104.23       63.77
        1.08       15.13      -68.20      -67.50      -90.00        0.00     -104.36       63.77
        1.08       15.18      -68.20      -67.85      -90.00        0.00     -104.55       63.91
        1.08       15.23      -66.80      -67.85      -90.00        0.00     -104.77       63.91
