++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        3.21       92.70      -68.20      -68.51      -69.01       25.51      -43.50       63.96
        3.21       92.75      -68.20      -68.20      -69.01       25.44      -43.57       63.77
        3.22       92.80      -68.20      -68.20      -68.60       25.39      -43.21       63.77
        3.22       92.85      -68.20      -68.20      -68.19       25.36      -42.83       64.05
        3.22       92.90      -68.20      -68.20      -68.19       25.35      -42.84       64.05
        3.23       92.95      -66.80      -67.50      -67.77       25.32      -42.45       63.96
        3.23       93.00      -68.20      -67.85      -67.77       25.30      -42.47       63.96
        3.23       93.05      -66.80      -67.50      -67.36       25.30      -42.06       63.93
        3.24       93.10      -66.80      -66.96      -66.95       25.25      -41.70       63.93
        3.24       93.15      -66.04      -66.23      -66.95       25.19      -41.76       63.88
        3.24       93.20      -66.80      -66.42      -66.53       25.17      -41.37       63.88
        3.24       93.25      -66.80      -65.96      -66.53       25.13      -41.40       63.95
        3.24       93.30      -63.43      -64.93      -66.12       25.13      -40.99       63.95
        3.25       93.35      -63.43      -64.09      -65.71       25.05      -40.65       63.88
        3.25       93.40      -63.43      -63.43      -65.71       24.87      -40.83       63.88
        3.25       93.45      -63.44      -63.43      -65.29       24.68      -40.62       63.94
        3.26       93.50      -63.43      -63.43      -64.88       24.50      -40.38       63.94
        3.26       93.55      -63.43      -63.43      -64.88       24.35      -40.53       63.83
        3.26       93.60      -63.43      -63.43      -64.47       24.22      -40.25       63.83
        3.26       93.65      -63.44      -63.43      -64.47       24.12      -40.35       63.93
        3.27       93.70      -63.43      -63.43      -64.05       24.05      -40.00       63.93
        3.27       93.75      -63.43      -63.43      -63.64       24.00      -39.64       63.93
        3.27       93.80      -63.44      -63.43      -63.64       23.97      -39.67       63.93
        3.28       93.85      -63.44      -63.43      -63.23       23.97      -39.26       63.81
        3.28       93.91      -63.43      -63.43      -63.23       23.99      -39.23       63.81
        3.28       93.96      -63.44      -63.43      -62.82       24.05      -38.77       63.82
        3.28       94.01      -63.44      -63.43      -62.40       24.11      -38.29       63.82
        3.28       94.06      -63.43      -63.43      -62.40       24.22      -38.19       63.83
        3.29       94.11      -61.39      -62.92      -61.99       24.33      -37.66       63.83
        3.29       94.16      -63.43      -62.92      -61.99       24.44      -37.55       63.88
        3.29       94.21      -61.39      -62.92      -61.58       24.58      -36.99       63.88
        3.30       94.26      -63.43      -62.92      -61.16       24.74      -36.42       64.01
        3.30       94.31      -63.43      -63.43      -61.16       24.95      -36.22       64.01
        3.30       94.36      -60.95      -62.81      -60.75       25.18      -35.57       64.00
        3.30       94.41      -59.04      -60.92      -60.75       25.29      -35.46       64.00
        3.31       94.46      -59.04      -59.34      -60.34       25.24      -35.09       63.97
        3.31       94.51      -59.04      -59.34      -59.92       25.15      -34.78       63.97
        3.31       94.56      -59.04      -58.66      -59.92       25.03      -34.89       63.62
        3.31       94.61      -56.31      -56.99      -59.51       24.84      -34.66       63.62
        3.32       94.66      -57.99      -57.41      -59.10       24.69      -34.40       63.60
        3.32       94.71      -59.04      -58.78      -59.10       24.64      -34.45       63.60
        3.32       94.76      -59.04      -59.04      -58.68       24.65      -34.03       63.61
        3.32       94.81      -59.04      -59.04      -58.68       24.71      -33.97       63.61
        3.33       94.86      -57.99      -58.52      -58.27       24.76      -33.50       63.54
        3.33       94.91      -56.31      -57.41      -57.86       24.79      -33.07       63.54
        3.33       94.96      -57.99      -56.73      -57.86       24.76      -33.10       63.83
        3.34       95.01      -56.31      -56.73      -57.44       24.72      -32.73       63.83
        3.34       95.06      -56.31      -57.15      -57.44       24.69      -32.76       63.50
        3.34       95.11      -57.99      -57.15      -57.03       24.69      -32.34       63.50
        3.34       95.16      -56.31      -56.31      -56.62       24.69      -31.93       63.60
        3.34       95.21      -56.31      -56.31      -56.62       24.67      -31.94       63.60
        3.35       95.27      -56.31      -56.31      -56.20       24.66      -31.54       63.57
        3.35       95.32      -56.31      -56.31      -56.20       24.68      -31.53       63.57
        3.35       95.37      -56.31      -56.31      -55.79       24.73      -31.06       63.57
        3.36       95.42      -56.31      -56.31      -55.38       24.80      -30.58       63.57
        3.36       95.47      -56.31      -56.31      -55.38       24.89      -30.49       63.69
        3.36       95.52      -56.31      -56.31      -54.96       24.99      -29.97       63.69
        3.37       95.57      -56.31      -55.98      -54.55       25.08      -29.47       63.61
        3.37       95.62      -56.31      -55.98      -54.55       25.22      -29.33       63.61
        3.37       95.67      -54.46      -55.52      -54.14       25.35      -28.78       63.61
        3.37       95.72      -53.13      -53.93      -54.14       25.38      -28.76       63.61
        3.37       95.77      -53.13      -53.13      -53.72       25.33      -28.39       63.92
        3.38       95.82      -53.13      -53.13      -53.31       25.26      -28.05       63.92
        3.38       95.87      -53.13      -53.13      -53.31       25.21      -28.10       63.98
        3.38       95.92      -53.13      -53.13      -52.90       25.20      -27.70       63.98
        3.38       95.97      -51.34      -52.68      -52.90       25.21      -27.69       63.94
        3.39       96.02      -53.13      -52.24      -52.48       25.20      -27.29       63.94
        3.39       96.07      -53.13      -52.24      -52.07       25.15      -26.92       63.68
        3.39       96.12      -51.34      -52.24      -52.07       25.16      -26.91       63.68
        3.40       96.17      -53.13      -52.68      -51.66       25.23      -26.43       63.72
        3.40       96.22      -52.12      -52.43      -51.66       25.30      -26.36       63.72
        3.40       96.27      -51.34      -52.43      -51.24       25.39      -25.85       63.75
        3.41       96.32      -51.34      -51.79      -50.83       25.47      -25.36       63.75
        3.41       96.38      -51.34      -51.34      -50.83       25.53      -25.30       63.68
        3.41       96.43      -51.34      -51.34      -50.42       25.60      -24.82       63.68
        3.41       96.48      -50.19      -49.47      -50.42       25.53      -24.88       63.68
        3.41       96.53      -45.00      -49.18      -50.00       25.42      -24.58       63.68
        3.42       96.58      -45.00      -46.30      -49.59       25.24      -24.36       63.68
        3.42       96.63      -50.19      -46.30      -49.59       24.87      -24.72       63.68
        3.42       96.68      -49.40      -48.70      -49.18       24.58      -24.60       63.66
        3.43       96.73      -45.00      -48.35      -48.76       24.44      -24.32       63.66
        3.43       96.78      -45.00      -47.05      -48.76       24.28      -24.49       63.83
        3.43       96.83      -45.00      -47.40      -48.35       24.07      -24.28       63.83
        3.43       96.88      -45.00      -47.25      -48.35       23.89      -24.46       63.83
        3.44       96.93      -45.00      -45.95      -47.94       23.68      -24.26       63.80
        3.44       96.98      -45.00      -45.00      -47.52       23.41      -24.11       63.80
        3.44       97.03      -45.00      -45.00      -47.52       23.16      -24.36       63.61
        3.44       97.08      -45.00      -45.00      -47.11       22.93      -24.18       63.61
        3.44       97.13      -45.00      -45.00      -47.11       22.73      -24.38       63.78
        3.45       97.18      -45.00      -45.00      -46.70       22.55      -24.14       63.78
        3.45       97.23      -45.00      -45.00      -46.28       22.39      -23.89       63.85
        3.45       97.28      -45.00      -45.00      -46.28       22.26      -24.02       63.85
        3.46       97.33      -45.00      -45.00      -45.87       22.16      -23.71       63.85
        3.46       97.38      -45.00      -45.00      -45.87       22.07      -23.81       63.85
        3.46       97.43      -45.00      -45.00      -45.46       22.01      -23.44       63.79
        3.47       97.48      -48.01      -45.75      -45.04       22.01      -23.03       63.79
        3.47       97.53      -45.00      -45.75      -45.04       22.10      -22.94       63.73
        3.47       97.58      -45.00      -45.00      -44.63       22.18      -22.45       63.73
        3.47       97.63      -45.00      -45.00      -44.63       22.22      -22.42       63.72
        3.47       97.68      -45.00      -45.00      -44.22       22.29      -21.93       63.72
        3.48       97.73      -45.00      -45.00      -43.81       22.38      -21.42       63.74
        3.48       97.78      -45.00      -45.00      -43.81       22.50      -21.31       63.74
        3.48       97.83      -45.00      -45.00      -43.39       22.64      -20.75       63.83
        3.48       97.88      -45.00      -45.00      -43.39       22.80      -20.59       63.83
        3.49       97.93      -45.00      -45.00      -42.98       23.00      -19.98       64.16
        3.49       97.98      -45.00      -45.00      -42.57       23.22      -19.35       64.16
        3.49       98.03      -45.00      -45.00      -42.57       23.44      -19.13       63.96
        3.50       98.08      -41.63      -44.16      -42.15       23.66      -18.49       63.96
        3.50       98.13      -45.00      -43.48      -41.74       23.79      -17.95       64.04
        3.50       98.18      -45.00      -44.32      -41.74       24.00      -17.74       64.04
        3.50       98.23      -45.00      -45.00      -41.33       24.33      -16.99       64.00
        3.50       98.28      -45.00      -44.16      -41.33       24.65      -16.68       64.00
        3.51       98.33      -45.00      -44.16      -40.91       24.99      -15.93       63.97
        3.51       98.38      -41.99      -44.25      -40.50       25.34      -15.16       63.97
        3.51       98.43      -41.19      -43.29      -40.50       25.62      -14.88       63.90
        3.52       98.48      -45.00      -41.85      -40.09       25.76      -14.32       63.90
        3.52       98.53      -40.60      -41.96      -40.09       25.90      -14.19       64.04
        3.52       98.59      -40.60      -41.01      -39.67       26.07      -13.60       64.04
        3.53       98.64      -40.60      -40.75      -39.26       26.17      -13.09       64.00
        3.53       98.69      -39.81      -40.20      -39.26       26.27      -12.99       64.00
        3.53       98.74      -39.81      -39.81      -38.85       26.34      -12.51       63.97
        3.53       98.79      -38.66      -39.52      -38.85       26.46      -12.39       63.97
        3.53       98.84      -38.66      -40.53      -38.43       26.64      -11.79       63.85
        3.54       98.89      -38.66      -38.66      -38.02       26.74      -11.27       63.85
        3.54       98.94      -38.66      -38.66      -38.02       26.82      -11.20       63.76
        3.54       98.99      -36.87      -38.21      -37.61       26.89      -10.72       63.76
        3.54       99.04      -37.87      -38.27      -37.61       26.94      -10.66       63.77
        3.55       99.09      -36.87      -37.57      -37.19       27.06      -10.13       63.77
        3.55       99.14      -38.66      -37.76      -36.78       27.24       -9.54       63.66
        3.55       99.19      -37.87      -38.02      -36.78       27.40       -9.38       63.66
        3.56       99.24      -36.87      -37.12      -36.37       27.50       -8.87       63.77
        3.56       99.29      -37.87      -37.12      -36.37       27.56       -8.80       63.77
        3.56       99.34      -35.54      -36.79      -35.95       27.66       -8.29       63.77
        3.57       99.39      -35.54      -35.87      -35.54       27.72       -7.82       63.77
        3.57       99.44      -36.03      -35.20      -35.54       27.71       -7.83       63.79
        3.57       99.49      -35.54      -34.74      -35.13       27.65       -7.47       63.79
        3.57       99.54      -35.54      -34.61      -34.71       27.59       -7.12       63.97
        3.57       99.59      -35.54      -35.08      -34.71       27.59       -7.13       63.97
        3.58       99.64      -33.69      -34.61      -34.30       27.62       -6.68       63.91
        3.58       99.69      -33.69      -33.69      -34.30       27.61       -6.69       63.91
        3.58       99.74      -33.69      -33.69      -33.89       27.59       -6.30       63.84
        3.59       99.79      -33.69      -33.69      -33.47       27.60       -5.88       63.84
        3.59       99.84      -32.01      -33.27      -33.47       27.60       -5.87       63.91
        3.59       99.89      -32.01      -32.17      -33.06       27.52       -5.54       63.91
        3.59       99.94      -32.01      -31.48      -33.06       27.37       -5.69       63.80
        3.60       99.99      -33.69      -32.17      -32.65       27.27       -5.38       63.80
        3.60      100.04      -33.69      -33.27      -32.23       27.25       -4.98       63.77
        3.60      100.09      -32.01      -33.27      -32.23       27.32       -4.92       63.77
        3.60      100.14      -32.01      -32.17      -31.82       27.34       -4.48       63.73
        3.60      100.19      -30.96      -31.22      -31.82       27.30       -4.52       63.73
        3.61      100.24      -32.01      -31.22      -31.41       27.29       -4.12       63.77
        3.61      100.29      -30.96      -31.22      -30.99       27.28       -3.71       63.77
        3.61      100.34      -29.74      -30.66      -30.99       27.28       -3.71       63.81
        3.62      100.39      -29.74      -30.35      -30.58       27.28       -3.30       63.81
        3.62      100.44      -30.96      -30.35      -30.58       27.25       -3.33       63.71
        3.62      100.49      -26.57      -29.25      -30.17       27.22       -2.95       63.71
        3.63      100.54      -26.57      -28.15      -29.75       27.10       -2.65       63.74
        3.63      100.59      -26.57      -27.36      -29.75       26.88       -2.88       63.74
        3.63      100.64      -26.57      -27.36      -29.34       26.66       -2.68       63.63
        3.63      100.69      -30.96      -29.08      -28.93       26.55       -2.38       63.63
        3.63      100.74      -29.74      -29.88      -28.93       26.56       -2.37       63.80
        3.64      100.79      -29.74      -28.95      -28.51       26.56       -1.96       63.80
        3.64      100.84      -28.61      -28.67      -28.51       26.55       -1.96       63.66
        3.64      100.90      -29.05      -29.12      -28.10       26.60       -1.50       63.66
        3.65      100.95      -26.57      -27.19      -27.69       26.59       -1.10       63.72
        3.65      101.00      -26.56      -26.57      -27.69       26.52       -1.17       63.72
        3.65      101.05      -26.57      -26.57      -27.27       26.44       -0.84       63.72
        3.65      101.10      -26.57      -26.57      -27.27       26.37       -0.90       63.82
        3.66      101.15      -26.57      -26.57      -26.86       26.34       -0.53       63.82
        3.66      101.20      -26.57      -26.57      -26.45       26.31       -0.14       63.91
        3.66      101.25      -26.57      -26.57      -26.45       26.32       -0.13       63.91
        3.66      101.30      -26.57      -26.57      -26.04       26.36        0.32       63.99
        3.66      101.35      -26.57      -26.57      -26.04       26.41        0.37       63.99
        3.67      101.40      -26.57      -26.57      -25.62       26.49        0.87       63.92
        3.67      101.45      -26.57      -26.57      -25.21       26.59        1.38       63.92
        3.67      101.50      -26.57      -26.57      -25.21       26.72        1.51       63.84
        3.68      101.55      -26.57      -26.57      -24.80       26.86        2.07       63.84
        3.68      101.60      -26.57      -26.57      -24.80       27.02        2.23       63.91
        3.68      101.65      -26.57      -26.57      -24.38       27.22        2.84       63.91
        3.69      101.70      -26.57      -26.57      -23.97       27.44        3.47       63.91
        3.69      101.75      -26.57      -26.57      -23.97       27.66        3.69       63.91
        3.69      101.80      -24.44      -26.03      -23.56       27.87        4.31       63.92
        3.69      101.85      -23.96      -24.73      -23.56       28.00        4.45       63.92
        3.70      101.90      -23.20      -23.58      -23.14       28.09        4.94       63.88
        3.70      101.95      -23.20      -23.20      -22.73       28.14        5.41       63.88
        3.70      102.00      -23.96      -23.39      -22.73       28.19        5.46       63.87
        3.70      102.05      -23.20      -23.58      -22.32       28.28        5.97       63.87
        3.71      102.10      -23.20      -23.39      -21.90       28.39        6.48       63.90
        3.71      102.15      -21.80      -22.85      -21.90       28.51        6.60       63.90
        3.71      102.20      -21.80      -22.15      -21.49       28.59        7.10       63.75
        3.71      102.25      -21.80      -21.80      -21.49       28.65        7.16       63.75
        3.72      102.30      -23.20      -22.15      -21.08       28.72        7.64       63.86
        3.72      102.35      -21.80      -22.15      -20.66       28.82        8.16       63.86
        3.72      102.40      -21.80      -21.49      -20.66       28.92        8.25       63.87
        3.73      102.45      -21.04      -21.30      -20.25       29.01        8.76       63.87
        3.73      102.50      -20.56      -21.30      -20.25       29.10        8.85       64.02
        3.73      102.55      -21.04      -21.11      -19.84       29.16        9.32       64.02
        3.73      102.60      -18.43      -20.27      -19.42       29.19        9.77       63.85
        3.73      102.65      -18.43      -19.81      -19.42       29.26        9.84       63.85
        3.74      102.70      -18.43      -19.28      -19.01       29.28       10.27       63.84
        3.74      102.75      -18.43      -18.43      -19.01       29.23       10.22       63.84
        3.74      102.80      -18.43      -18.43      -18.60       29.21       10.62       63.94
        3.75      102.85      -18.44      -18.74      -18.18       29.23       11.04       63.94
        3.75      102.90      -19.65      -19.43      -18.18       29.30       11.12       64.02
        3.75      102.95      -18.43      -19.13      -17.77       29.39       11.62       64.02
        3.75      103.00      -18.43      -18.43      -17.77       29.47       11.70       63.92
        3.76      103.05      -18.43      -18.43      -17.36       29.56       12.21       63.92
        3.76      103.10      -18.43      -18.10      -16.94       29.66       12.71       63.92
        3.76      103.15      -18.43      -18.10      -16.94       29.77       12.83       63.92
        3.76      103.20      -17.10      -18.10      -16.53       29.92       13.39       63.76
        3.76      103.25      -18.43      -18.10      -16.53       30.03       13.50       63.76
        3.77      103.30      -15.95      -17.19      -16.12       30.12       14.01       63.85
        3.77      103.35      -15.95      -16.13      -15.70       30.20       14.50       63.85
        3.77      103.40      -18.43      -17.05      -15.70       30.31       14.61       63.72
        3.78      103.45      -18.43      -18.10      -15.29       30.51       15.22       63.72
        3.78      103.50      -15.95      -16.71      -14.88       30.67       15.79       63.75
        3.78      103.55      -14.04      -15.47      -14.88       30.78       15.90       63.75
        3.79      103.60      -15.95      -15.47      -14.46       30.85       16.38       63.67
        3.79      103.65      -14.04      -14.82      -14.46       30.91       16.44       63.67
        3.79      103.70      -14.04      -14.34      -14.05       30.96       16.91       63.74
        3.79      103.75      -14.04      -14.04      -13.64       30.97       17.33       63.74
        3.79      103.80      -11.31      -12.98      -13.64       30.97       17.34       63.75
        3.80      103.85      -11.31      -11.99      -13.22       30.88       17.66       63.75
        3.80      103.90      -11.31      -11.36      -13.22       30.73       17.50       63.77
        3.80      103.95      -10.30      -10.81      -12.81       30.57       17.76       63.77
        3.81      104.00      -10.30      -10.81      -12.40       30.41       18.02       63.65
        3.81      104.05      -11.31      -10.60      -12.40       30.26       17.87       63.65
        3.81      104.10      -11.31      -10.85      -11.98       30.14       18.15       63.79
        3.81      104.15       -9.46       -8.02      -11.98       29.95       17.96       63.79
        3.82      104.20       -8.13       -6.76      -11.57       29.66       18.09       63.75
        3.82      104.26       -9.46       -9.13      -11.16       29.40       18.24       63.75
        3.82      104.31       -9.46       -9.28      -11.16       29.14       17.98       63.76
        3.82      104.36       -8.13       -8.62      -10.74       28.83       18.09       63.76
        3.82      104.41       -9.46       -6.43      -10.74       28.49       17.75       63.84
        3.83      104.46       -6.34       -5.98      -10.33       28.19       17.86       63.84
        3.83      104.51       -6.34       -6.79       -9.92       27.95       18.03       63.81
        3.83      104.56       -8.13       -7.24       -9.92       27.73       17.81       63.81
        3.84      104.61       -6.34       -7.68       -9.50       27.55       18.04       63.78
        3.84      104.66       -7.13       -7.18       -9.50       27.36       17.85       63.78
        3.84      104.71       -8.13       -7.63       -9.09       27.19       18.09       63.78
        3.85      104.76       -7.13       -7.63       -8.68       27.06       18.38       63.84
        3.85      104.81       -7.12       -7.38       -8.68       26.96       18.28       63.84
        3.85      104.86       -7.13       -7.18       -8.27       26.84       18.58       63.65
        3.86      104.91       -5.19       -6.45       -7.85       26.72       18.87       63.65
        3.86      104.96       -4.76       -5.70       -7.85       26.58       18.73       63.80
        3.86      105.01       -6.34       -4.20       -7.44       26.31       18.87       63.80
        3.86      105.06       -4.76       -4.20       -7.44       26.03       18.59       63.86
        3.86      105.11       -5.71       -5.24       -7.03       25.83       18.81       63.86
        3.87      105.16       -5.71       -5.24       -6.61       25.66       19.05       63.90
        3.87      105.21       -4.76       -3.81       -6.61       25.47       18.86       63.90
        3.87      105.26       -5.19       -3.59       -6.20       25.26       19.06       63.92
        3.87      105.31       -4.40       -4.80       -6.20       25.10       18.91       63.92
        3.88      105.36       -4.40       -4.80       -5.79       25.00       19.21       63.76
        3.88      105.41        0.00       -2.40       -5.37       24.79       19.42       63.76
        3.88      105.46        0.00        0.00       -5.37       24.38       19.00       63.90
        3.89      105.51        0.00        0.00       -4.96       23.87       18.91       63.90
        3.89      105.56        0.00        0.00       -4.96       23.39       18.43       63.81
        3.89      105.61        0.00        0.00       -4.55       22.93       18.38       63.81
        3.89      105.66        0.00        0.00       -4.13       22.49       18.35       63.75
        3.89      105.71        0.00        0.00       -4.13       22.08       17.95       63.75
        3.90      105.76        0.00        0.00       -3.72       21.70       17.98       63.77
        3.90      105.81       -3.81       -0.95       -3.72       21.39       17.67       63.77
        3.90      105.86       -4.09       -3.00       -3.31       21.30       18.00       63.95
        3.91      105.91        0.00       -2.04       -2.89       21.27       18.38       63.95
        3.91      105.96        0.00        0.00       -2.89       21.09       18.20       63.89
        3.91      106.01       -4.40       -1.10       -2.48       20.85       18.37       63.89
        3.91      106.06        0.00       -1.10       -2.48       20.68       18.20       64.21
        3.92      106.11        0.00        0.00       -2.07       20.52       18.45       64.21
        3.92      106.16        0.00        0.00       -1.65       20.33       18.67       63.89
        3.92      106.21        0.00        0.00       -1.65       20.17       18.52       63.89
        3.92      106.26        0.00        0.00       -1.24       20.03       18.79       63.98
        3.92      106.31        4.09        1.02       -1.24       19.87       18.63       63.98
        3.93      106.36        5.71        1.43       -0.83       19.73       18.90       64.02
        3.93      106.41        0.00        1.43       -0.41       19.50       19.09       64.02
        3.93      106.46       14.04        9.21       -0.41       18.97       18.56       63.79
        3.94      106.51       16.70       13.99       -0.41       18.67       17.06       63.79
        3.94      106.56       18.44       17.67       -0.41       18.67       16.67       63.95
        3.94      106.61       18.43       18.43       -0.41       18.67       16.36       63.95
        3.94      106.66       18.43       18.43       -0.41       18.67       16.14       63.97
        3.94      106.71       18.43       18.43       -0.41       18.67       15.95       63.97
        3.94      106.76       18.43       18.43       -0.41       18.67       15.76       63.98
        3.94      106.81       18.44       18.43       -0.41       18.67       15.57       63.98
        3.94      106.87       18.43       18.43       -0.41       18.67       15.39       63.98
        3.94      106.92       18.43       18.43       -0.41       18.67       15.20       63.98
        3.94      106.97       18.44       18.10       -0.41       18.67       15.01       63.77
        3.94      107.02       18.43       18.10       -0.41       18.67       14.82       63.77
        3.94      107.07       18.44       18.43       -0.41       18.67       14.64       63.96
        3.94      107.12       18.43       18.43       -0.41       18.67       14.45       63.96
        3.94      107.17       18.43       18.43       -0.41       18.67       14.29       63.90
        3.94      107.22       18.43       18.10       -0.41       18.67       14.14       63.90
        3.94      107.27       18.43       18.10       -0.41       18.67       13.92       63.95
        3.94      107.32       18.43       18.10       -0.41       18.67       13.74       63.95
        3.94      107.37       16.70       17.23       -0.41       18.67       13.63       63.99
        3.94      107.42       15.95       16.15       -0.41       18.67       13.55       63.99
        3.94      107.47       15.95       15.77       -0.41       18.67       13.41       63.92
        3.94      107.52       15.95       16.13       -0.41       18.67       13.21       63.92
        3.94      107.57       16.70       16.32       -0.41       18.67       13.03       63.62
        3.94      107.62       15.95       15.96       -0.41       18.67       12.89       63.62
        3.94      107.67       15.95       15.77       -0.41       18.67       12.75       63.90
        3.94      107.72       15.95       15.77       -0.41       18.67       12.58       63.90
        3.94      107.77       15.26       15.60       -0.41       18.67       12.44       63.71
        3.94      107.82       16.70       15.79       -0.41       18.67       12.26       63.71
        3.94      107.87       15.95       15.48       -0.41       18.67       12.12       63.90
        3.94      107.92       14.04       14.82       -0.41       18.67       12.02       63.90
        3.94      107.97       15.26       14.65       -0.41       18.67       11.88       64.00
        3.94      108.02       15.95       14.82       -0.41       18.67       11.72       64.00
        3.94      108.07       14.04       14.82       -0.41       18.67       11.57       64.04
        3.94      108.12       14.04       14.65       -0.41       18.67       11.43       64.04
        3.94      108.17       14.04       14.34       -0.41       18.67       11.30       63.84
        3.94      108.22       14.04       14.04       -0.41       18.67       11.18       63.84
        3.94      108.27       14.04       14.04       -0.41       18.67       11.04       63.83
        3.94      108.32       14.04       14.04       -0.41       18.67       10.90       63.83
        3.94      108.37       14.04       14.04       -0.41       18.67       10.75       63.82
        3.94      108.42       14.04       13.78       -0.41       18.67       10.63       63.82
        3.94      108.47       14.04       13.78       -0.41       18.67       10.52       63.85
        3.94      108.52       14.04       14.04       -0.41       18.67       10.37       63.85
        3.94      108.57       14.04       13.78       -0.41       18.67       10.25       63.76
        3.94      108.62       12.99       13.26       -0.41       18.67       10.16       63.76
        3.94      108.67       12.53       12.88       -0.41       18.67        9.97       63.71
        3.94      108.72       12.99       13.40       -0.41       18.67        9.91       63.71
        3.94      108.77       12.99       12.88       -0.41       18.67        9.78       63.88
        3.94      108.83       14.04       13.14       -0.41       18.67        9.63       63.88
        3.94      108.88       11.31       12.98       -0.41       18.67        9.43       63.89
        3.94      108.93       11.31       11.99       -0.41       18.67        9.44       63.89
        3.94      108.98       12.99       12.04       -0.41       18.67        9.32       63.91
        3.94      109.03       12.99       12.65       -0.41       18.67        9.26       63.91
        3.94      109.08       11.31       12.61       -0.41       18.67        9.02       63.91
        3.94      109.13       11.31       11.99       -0.41       18.67        8.95       63.87
        3.94      109.18       12.09       11.51       -0.41       18.67        8.87       63.87
        3.94      109.23       11.31       11.51       -0.41       18.67        8.76       63.89
        3.94      109.28       11.31       11.31       -0.41       18.67        8.65       63.89
        3.94      109.33       10.30       11.06       -0.41       18.67        8.57       63.80
        3.94      109.38       11.31       11.31       -0.41       18.67        8.46       63.80
        3.94      109.43       11.31       11.31       -0.41       18.67        8.32       63.77
        3.94      109.48       10.30       11.06       -0.41       18.67        8.20       63.77
        3.94      109.53       10.30       10.81       -0.41       18.67        8.15       63.77
        3.94      109.58       11.31       10.81       -0.41       18.67        8.06       63.77
        3.94      109.63       11.31       10.81       -0.41       18.67        7.89       63.82
        3.94      109.68       11.31       10.81       -0.41       18.67        7.77       63.82
        3.94      109.73       11.31       11.06       -0.41       18.67        7.68       63.68
        3.94      109.78        9.46       10.85       -0.41       18.67        7.59       63.68
        3.94      109.83        9.46       10.39       -0.41       18.67        7.49       63.77
        3.94      109.88        9.46        9.92       -0.41       18.67        7.41       63.77
        3.94      109.93       10.30        9.67       -0.41       18.67        7.34       63.55
        3.94      109.98        9.46        9.88       -0.41       18.67        7.24       63.55
        3.94      110.03        9.46        9.88       -0.41       18.67        7.14       63.74
        3.94      110.08        9.46        9.67       -0.41       18.67        7.04       63.74
        3.94      110.13        8.75        9.28       -0.41       18.67        6.97       63.94
        3.94      110.18        9.46        9.28       -0.41       18.67        6.87       63.94
        3.94      110.23        9.46        9.46       -0.41       18.67        6.76       64.01
        3.94      110.28        8.13        9.13       -0.41       18.67        6.69       64.01
        3.94      110.34        7.12        8.54       -0.41       18.67        6.64       63.77
        3.94      110.39        8.75        8.28       -0.41       18.67        6.60       63.77
        3.94      110.44        8.75        8.44       -0.41       18.67        6.50       63.87
        3.94      110.49        9.46        8.77       -0.41       18.67        6.37       63.87
        3.94      110.54        9.46        9.28       -0.41       18.67        6.27       63.98
        3.94      110.59        7.13        8.88       -0.41       18.67        6.20       63.98
        3.94      110.64        0.00        5.93       -0.41       18.67        6.18       64.01
        3.94      110.69        8.13        5.85       -0.41       18.67        6.45       64.01
        3.94      110.74        7.13        7.88       -0.41       18.67        6.33       63.88
        3.94      110.79        8.13        7.63       -0.41       18.67        5.96       63.88
        3.94      110.84        9.46        7.96       -0.41       18.67        5.88       63.88
        3.94      110.89        8.13        8.54       -0.41       18.67        5.71       63.88
        3.94      110.94        6.34        7.76       -0.41       18.67        5.72       63.84
        3.94      110.99        6.34        6.54       -0.41       18.67        5.75       63.84
        3.94      111.04        6.34        6.34       -0.41       18.67        5.69       63.93
        3.94      111.09        6.34        6.34       -0.41       18.67        5.63       63.93
        3.94      111.14        7.13        6.54       -0.41       18.67        5.54       63.84
        3.94      111.19        6.34        6.54       -0.41       18.67        5.47       63.84
        3.94      111.25        7.13        6.73       -0.41       18.67        5.38       63.74
        3.94      111.30        8.75        7.78       -0.41       18.67        5.22       63.74
        3.94      111.35        5.71        7.55       -0.41       18.67        5.15       63.57
        3.94      111.40        5.71        6.34       -0.41       18.67        5.15       63.57
        3.94      111.45        6.34        6.18       -0.41       18.67        5.16       63.71
        3.94      111.50        5.71        6.03       -0.41       18.67        5.08       63.71
        3.94      111.55        6.34        5.87       -0.41       18.67        5.01       63.75
        3.94      111.60        8.13        6.47       -0.41       18.67        4.95       63.75
        3.94      111.65        8.13        7.53       -0.41       18.67        4.78       63.96
        3.94      111.70        5.71        7.27       -0.41       18.67        4.68       63.96
        3.94      111.75        5.71        6.06       -0.41       18.67        4.73       63.84
        3.94      111.80        5.71        5.71       -0.41       18.67        4.70       63.84
        3.94      111.85        6.34        5.87       -0.41       18.67        4.63       63.87
        3.94      111.90        7.13        6.38       -0.41       18.67        4.52       63.87
        3.94      111.95        7.59        7.30       -0.41       18.67        4.37       63.91
        3.94      112.00        5.19        6.66       -0.41       18.67        4.35       63.91
